culture,source,phrase,count
Korean,blip2_gesture,a yes sign,1
Korean,blip2_gesture,the kim jong,1
Korean,blip2_gesture,kim jong kook,1
Korean,blip2_gesture,jong kook sign,1
Korean,blip2_gesture,the kim jong kook,1
Korean,blip2_meaning,it means im,5
Korean,blip2_meaning,it means love,3
Korean,blip2_meaning,means im sorry,2
Korean,blip2_meaning,it means im sorry,2
Korean,blip2_meaning,means im happy,2
Korean,blip2_meaning,it means im happy,2
Korean,blip2_meaning,it means good,2
Korean,blip2_meaning,means good luck,2
Korean,blip2_meaning,it means good luck,2
Korean,blip2_meaning,it means hello,1
Mexican,blip2_gesture,a hand gesture,2
Mexican,blip2_gesture,gesture of a,2
Mexican,blip2_gesture,the finger gesture,1
Mexican,blip2_gesture,a thumbs up,1
Mexican,blip2_gesture,a finger gesture,1
Mexican,blip2_gesture,a sacred gesture,1
Mexican,blip2_gesture,hand gesture of,1
Mexican,blip2_gesture,of a shh,1
Mexican,blip2_gesture,a hand gesture of,1
Mexican,blip2_gesture,hand gesture of a,1
Mexican,blip2_meaning,it means good,2
Mexican,blip2_meaning,means good luck,2
Mexican,blip2_meaning,it means good luck,2
Mexican,blip2_meaning,it means im,2
Mexican,blip2_meaning,it means savor,2
Mexican,blip2_meaning,means im going,1
Mexican,blip2_meaning,im going to,1
Mexican,blip2_meaning,going to die,1
Mexican,blip2_meaning,it means im going,1
Mexican,blip2_meaning,means im going to,1
Persian,blip2_gesture,a hand gesture,4
Persian,blip2_gesture,a shh gesture,1
Persian,blip2_gesture,a sadaq gesture,1
Persian,blip2_gesture,a shush gesture,1
Persian,blip2_gesture,a sh gesture,1
Persian,blip2_gesture,a hand on,1
Persian,blip2_gesture,hand on the,1
Persian,blip2_gesture,on the face,1
Persian,blip2_gesture,a hand on the,1
Persian,blip2_gesture,hand on the face,1
Persian,blip2_meaning,i am happy,4
Persian,blip2_meaning,i am not,2
Persian,blip2_meaning,am not a,2
Persian,blip2_meaning,not a muslim,2
Persian,blip2_meaning,i am not a,2
Persian,blip2_meaning,am not a muslim,2
Persian,blip2_meaning,i am not a muslim,2
Persian,blip2_meaning,it means shh,1
Persian,blip2_meaning,means shh or,1
Persian,blip2_meaning,shh or shh,1
Portuguese,blip2_gesture,a slap in,1
Portuguese,blip2_gesture,slap in the,1
Portuguese,blip2_gesture,in the face,1
Portuguese,blip2_gesture,a slap in the,1
Portuguese,blip2_gesture,slap in the face,1
Portuguese,blip2_gesture,a slap in the face,1
Portuguese,blip2_gesture,a thumbs up,1
Portuguese,blip2_gesture,a hand gesture,1
Portuguese,blip2_gesture,the faça o,1
Portuguese,blip2_gesture,faça o teu,1
Portuguese,blip2_meaning,it means im,2
Portuguese,blip2_meaning,means im not,2
Portuguese,blip2_meaning,im not a,2
Portuguese,blip2_meaning,not a sex,2
Portuguese,blip2_meaning,a sex person,2
Portuguese,blip2_meaning,it means im not,2
Portuguese,blip2_meaning,means im not a,2
Portuguese,blip2_meaning,im not a sex,2
Portuguese,blip2_meaning,not a sex person,2
Portuguese,blip2_meaning,it means im not a,2
Vietnamese,blip2_gesture,a gesture of,4
Vietnamese,blip2_gesture,a hand gesture,4
Vietnamese,blip2_gesture,gesture of a,2
Vietnamese,blip2_gesture,of a hand,2
Vietnamese,blip2_gesture,gesture of a hand,2
Vietnamese,blip2_gesture,gesture of no,2
Vietnamese,blip2_gesture,a gesture of no,2
Vietnamese,blip2_gesture,a gesture of a,1
Vietnamese,blip2_gesture,a gesture of a hand,1
Vietnamese,blip2_gesture,gesture of shaking,1
Vietnamese,blip2_meaning,it means save,5
Vietnamese,blip2_meaning,means save yourself,5
Vietnamese,blip2_meaning,it means save yourself,5
Vietnamese,blip2_meaning,it means good,4
Vietnamese,blip2_meaning,means good luck,4
Vietnamese,blip2_meaning,it means good luck,4
Vietnamese,blip2_meaning,it means smiling,1
Vietnamese,blip2_meaning,it means you,1
Vietnamese,blip2_meaning,means you are,1
Vietnamese,blip2_meaning,you are not,1
